model,split,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,positive_rate,bootstrap_resamples,k_for_precision_recall_at_k
Logistic Regression,random_test,accuracy,0.8777380100214746,0.8705798138869005,0.8853256979241231,6985,0.09763779527559055,1000,350
Logistic Regression,random_test,precision,0.43952180028129395,0.41352859135285913,0.4655949694899728,6985,0.09763779527559055,1000,350
Logistic Regression,random_test,recall,0.9164222873900293,0.8955831447963801,0.9362025330064937,6985,0.09763779527559055,1000,350
Logistic Regression,random_test,f1,0.594106463878327,0.5683648476996623,0.6185212418300653,6985,0.09763779527559055,1000,350
Logistic Regression,random_test,auroc,0.9635361925592384,0.9571160296570581,0.9695217670754004,6985,0.09763779527559055,1000,350
Logistic Regression,random_test,auprc,0.7569969001560625,0.7204386744016789,0.7955604438231828,6985,0.09763779527559055,1000,350
Logistic Regression,random_test,brier,0.08014322337524896,0.07574085931686844,0.08444774823330596,6985,0.09763779527559055,1000,350
Logistic Regression,random_test,precision_at_k,0.8571428571428571,0.8228571428571428,0.8943571428571427,6985,0.09763779527559055,1000,350
Logistic Regression,random_test,recall_at_k,0.4398826979472141,0.41093405630134244,0.47370712703384,6985,0.09763779527559055,1000,350
Random Forest,random_test,accuracy,0.988690050107373,0.9863994273443092,0.9911238367931281,6985,0.09763779527559055,1000,350
Random Forest,random_test,precision,0.9918433931484503,0.98482433833838,0.99831960831077,6985,0.09763779527559055,1000,350
Random Forest,random_test,recall,0.8914956011730205,0.8686868686868687,0.9133666846756989,6985,0.09763779527559055,1000,350
Random Forest,random_test,f1,0.938996138996139,0.9257057569296375,0.9513681789971196,6985,0.09763779527559055,1000,350
Random Forest,random_test,auroc,0.995705391883863,0.9932720795600403,0.9976306229614739,6985,0.09763779527559055,1000,350
Random Forest,random_test,auprc,0.9806113159281911,0.9736956976580418,0.9871668989251295,6985,0.09763779527559055,1000,350
Random Forest,random_test,brier,0.009524230968916216,0.00781454960056999,0.011054515643763153,6985,0.09763779527559055,1000,350
Random Forest,random_test,precision_at_k,1.0,1.0,1.0,6985,0.09763779527559055,1000,350
Random Forest,random_test,recall_at_k,0.5131964809384164,0.4781420765027322,0.5511811023622047,6985,0.09763779527559055,1000,350
Extra Trees,random_test,accuracy,0.9871152469577666,0.9846778811739442,0.9896921975662133,6985,0.09763779527559055,1000,350
Extra Trees,random_test,precision,0.9868421052631579,0.9768192669028184,0.9951857390390108,6985,0.09763779527559055,1000,350
Extra Trees,random_test,recall,0.8797653958944281,0.8551579295270867,0.9032293486988145,6985,0.09763779527559055,1000,350
Extra Trees,random_test,f1,0.9302325581395349,0.9158409025402934,0.9438262516681734,6985,0.09763779527559055,1000,350
Extra Trees,random_test,auroc,0.9945083870595531,0.9925794576085003,0.996327627202385,6985,0.09763779527559055,1000,350
Extra Trees,random_test,auprc,0.9728425735672173,0.9647271769718685,0.9808348194997629,6985,0.09763779527559055,1000,350
Extra Trees,random_test,brier,0.01133487256820813,0.009639597744418069,0.013051064444129621,6985,0.09763779527559055,1000,350
Extra Trees,random_test,precision_at_k,1.0,1.0,1.0,6985,0.09763779527559055,1000,350
Extra Trees,random_test,recall_at_k,0.5131964809384164,0.4781420765027322,0.5511811023622047,6985,0.09763779527559055,1000,350
HistGradientBoosting,random_test,accuracy,0.9871152469577666,0.9843951324266285,0.9896921975662133,6985,0.09763779527559055,1000,350
HistGradientBoosting,random_test,precision,0.9240687679083095,0.9045531400966184,0.9424642366873159,6985,0.09763779527559055,1000,350
HistGradientBoosting,random_test,recall,0.9457478005865103,0.9273772437494117,0.9619482496194824,6985,0.09763779527559055,1000,350
HistGradientBoosting,random_test,f1,0.9347826086956522,0.9203489350247317,0.9472239712581948,6985,0.09763779527559055,1000,350
HistGradientBoosting,random_test,auroc,0.9957856497138866,0.9934265154111602,0.9977338886597158,6985,0.09763779527559055,1000,350
HistGradientBoosting,random_test,auprc,0.981782372788702,0.9743213246250014,0.9881941450581982,6985,0.09763779527559055,1000,350
HistGradientBoosting,random_test,brier,0.010185234245621533,0.008622307975073478,0.011794463816406881,6985,0.09763779527559055,1000,350
HistGradientBoosting,random_test,precision_at_k,1.0,1.0,1.0,6985,0.09763779527559055,1000,350
HistGradientBoosting,random_test,recall_at_k,0.5131964809384164,0.4781420765027322,0.5511811023622047,6985,0.09763779527559055,1000,350
MLP,random_test,accuracy,0.9798138869005011,0.9765175375805297,0.9833929849677882,6985,0.09763779527559055,1000,350
MLP,random_test,precision,0.9206842923794712,0.899380561559281,0.9425916696201784,6985,0.09763779527559055,1000,350
MLP,random_test,recall,0.8680351906158358,0.8436511007911937,0.8919308905644818,6985,0.09763779527559055,1000,350
MLP,random_test,f1,0.8935849056603774,0.8764182096714944,0.9121041830407824,6985,0.09763779527559055,1000,350
MLP,random_test,auroc,0.9833968649663173,0.9781209441360214,0.9883127992979162,6985,0.09763779527559055,1000,350
MLP,random_test,auprc,0.942975241953364,0.9297547431614827,0.9554933503536109,6985,0.09763779527559055,1000,350
MLP,random_test,brier,0.016345943686256453,0.013673790663757089,0.018858518108577627,6985,0.09763779527559055,1000,350
MLP,random_test,precision_at_k,0.9942857142857143,0.9857142857142858,1.0,6985,0.09763779527559055,1000,350
MLP,random_test,recall_at_k,0.5102639296187683,0.475983237162283,0.547336434089272,6985,0.09763779527559055,1000,350
XGBoost,random_test,accuracy,0.98840372226199,0.9858267716535433,0.9908375089477451,6985,0.09763779527559055,1000,350
XGBoost,random_test,precision,0.9286733238231099,0.9085519755702356,0.9463774219322192,6985,0.09763779527559055,1000,350
XGBoost,random_test,recall,0.9545454545454546,0.9379724892010449,0.969478956016178,6985,0.09763779527559055,1000,350
XGBoost,random_test,f1,0.9414316702819957,0.9281031430584186,0.9535705601795567,6985,0.09763779527559055,1000,350
XGBoost,random_test,auroc,0.9964726102126111,0.994482873203774,0.998098413615739,6985,0.09763779527559055,1000,350
XGBoost,random_test,auprc,0.9838797785103605,0.9772581604816705,0.9895979389498585,6985,0.09763779527559055,1000,350
XGBoost,random_test,brier,0.009689084971663398,0.00816838027326643,0.011204536231363343,6985,0.09763779527559055,1000,350
XGBoost,random_test,precision_at_k,1.0,1.0,1.0,6985,0.09763779527559055,1000,350
XGBoost,random_test,recall_at_k,0.5131964809384164,0.4781420765027322,0.5511811023622047,6985,0.09763779527559055,1000,350
