model_a,model_b,metric,metric_a,metric_b,difference_a_minus_b,ci_lower_95,ci_upper_95,paired_bootstrap_p_value,bootstrap_resamples
Extra Trees,GraphSAGE,auprc,0.5698956987932415,0.31082795481927344,0.2590677439739681,0.2217937932465431,0.2974514518030862,0.0,1000
Extra Trees,GraphSAGE,auroc,0.8694701080954141,0.7835682298533074,0.08590187824210671,0.06442302908312683,0.1080276374802801,0.0,1000
Extra Trees,GraphSAGE,recall_at_k,0.49754901960784315,0.3088235294117647,0.18872549019607843,0.1492038053888392,0.2263730177238806,0.0,1000
Extra Trees,GraphSAGE,precision_at_k,0.4582392776523702,0.28442437923250563,0.17381489841986458,0.13544018058690743,0.21444695259593677,0.0,1000
Extra Trees,GraphSAGE,accuracy,0.9738717339667459,0.2943105983486031,0.6795611356181428,0.668137088564642,0.6900803076575048,0.0,1000
Extra Trees,XGBoost,auprc,0.5698956987932415,0.553342347276509,0.01655335151673254,0.003223966632709966,0.03159630558429115,0.012,1000
Extra Trees,XGBoost,auroc,0.8694701080954141,0.8627910194078817,0.00667908868753242,-0.006989988335877153,0.01961433261874227,0.32,1000
Extra Trees,XGBoost,recall_at_k,0.49754901960784315,0.49754901960784315,0.0,-0.016241299303944245,0.016872612400822818,1.0,1000
Extra Trees,XGBoost,precision_at_k,0.4582392776523702,0.4582392776523702,0.0,-0.015801354401805856,0.015801354401805856,1.0,1000
Extra Trees,XGBoost,accuracy,0.9738717339667459,0.9576970930890171,0.016174640877728796,0.013573125212080095,0.018889265920144727,0.0,1000
