model,seed,accuracy,precision,recall,f1,auroc,auprc,brier,precision_at_k,recall_at_k,k
MLP,42,0.9642574369415224,0.823943661971831,0.2867647058823529,0.4254545454545455,0.8446278102133773,0.4459375481714364,0.03189758652813349,0.44243792325056436,0.4803921568627451,443
GCN,42,0.550616446103382,0.07910271546635184,0.821078431372549,0.14430325220762438,0.7348651306840773,0.10087259856550904,0.29219429212804776,0.13318284424379231,0.14460784313725492,443
GraphSAGE,42,0.7467481054179391,0.11452631578947368,0.6666666666666666,0.19547251167804527,0.7686812777998665,0.29404905667263215,0.17391124211046097,0.30248306997742663,0.3284313725490196,443
MLP,123,0.9572446555819477,0.7272727272727273,0.11764705882352941,0.20253164556962025,0.8394571512940525,0.40947701187813557,0.036027005261448135,0.43340857787810383,0.47058823529411764,443
GCN,123,0.6251555253930551,0.09070422535211267,0.7892156862745098,0.16270843860535625,0.7535599233171273,0.11693609052586473,0.24757666150387,0.16478555304740405,0.17892156862745098,443
GraphSAGE,123,0.7569279493269992,0.11533362792752982,0.6397058823529411,0.19543242231374017,0.7724090466258839,0.3170178584089074,0.16318372948107565,0.3182844243792325,0.34558823529411764,443
MLP,456,0.9601854993778984,0.8414634146341463,0.16911764705882354,0.2816326530612245,0.8684024362739284,0.44662274648438033,0.036845708947555726,0.4469525959367946,0.4852941176470588,443
GCN,456,0.5985748218527316,0.08572935900817726,0.7965686274509803,0.15479876160990713,0.7438038122873957,0.11032795401770985,0.2588774314397562,0.15575620767494355,0.16911764705882354,443
GraphSAGE,456,0.7622440900350639,0.11743450767841011,0.6372549019607843,0.19832189168573608,0.7759034302681109,0.3437849137546522,0.15838297496694065,0.327313769751693,0.3553921568627451,443
MLP,789,0.9523809523809523,0.43564356435643564,0.10784313725490197,0.17288801571709234,0.856942439017585,0.30190644372422387,0.040170742229751095,0.4221218961625282,0.4583333333333333,443
GCN,789,0.5614749462730461,0.08093742449867118,0.821078431372549,0.14734990103364856,0.7461524868455622,0.10692735603927452,0.28428833739268733,0.13769751693002258,0.14950980392156862,443
GraphSAGE,789,0.7564755118199299,0.11580801409070894,0.6446078431372549,0.1963419186263531,0.768816716773274,0.3159625711717936,0.1648880453830125,0.3182844243792325,0.34558823529411764,443
MLP,2024,0.9530596086415564,0.4672897196261682,0.12254901960784313,0.1941747572815534,0.8220267948279751,0.2932300724209135,0.03955160260546847,0.4108352144469526,0.44607843137254904,443
GCN,2024,0.5799117746861214,0.0832072617246596,0.8088235294117647,0.15089163237311384,0.7425636446918387,0.10551895530520586,0.273894541104982,0.13318284424379231,0.14460784313725492,443
GraphSAGE,2024,0.7536477774007465,0.11688311688311688,0.6617647058823529,0.1986754966887417,0.7727376169251052,0.3201603703670787,0.16894697574505943,0.3182844243792325,0.34558823529411764,443
