component,explained_variance_ratio
spectral_g_00,0.0013974565
spectral_g_01,0.0012327983
spectral_g_02,0.0010139729
spectral_g_03,0.0009893418
spectral_g_04,0.00094065955
spectral_g_05,0.0009209008
spectral_g_06,0.00089727424
spectral_g_07,0.0008823487
spectral_g_08,0.0008196171
spectral_g_09,0.00081185275
spectral_g_10,0.00078221277
spectral_g_11,0.0007554701
spectral_g_12,0.00075384736
spectral_g_13,0.0007404035
spectral_g_14,0.0007316098
spectral_g_15,0.0007110859
spectral_g_16,0.0006924978
spectral_g_17,0.0006770638
spectral_g_18,0.00064382626
spectral_g_19,0.0006292111
spectral_g_20,0.00062131416
spectral_g_21,0.0006014864
spectral_g_22,0.000595478
spectral_g_23,0.00059227826
spectral_g_24,0.00058655394
spectral_g_25,0.0005681287
spectral_g_26,0.00053037703
spectral_g_27,0.00051544845
spectral_g_28,0.00051502517
spectral_g_29,0.0005060969
spectral_g_30,0.0004943139
spectral_g_31,0.00049136963
