epoch,loss,val_auprc,val_auroc
1,1.2409400939941406,0.13336992230247102,0.6942013274107208
5,0.9831606149673462,0.31954120754274823,0.8310444299485394
10,0.8274080157279968,0.3298050729080799,0.8279002681742409
15,0.724865734577179,0.33342808579032734,0.8185481315813997
20,0.6382714509963989,0.338434673206691,0.8125807887843115
25,0.5787714719772339,0.3592814019635728,0.8162364489174665
30,0.5316037535667419,0.40529877470823034,0.8299549591526107
35,0.49353769421577454,0.44907644945468095,0.8441758560349558
40,0.4637400805950165,0.47739303511466025,0.8542271094130194
45,0.43751829862594604,0.49294140504324463,0.8618239990059953
50,0.41972556710243225,0.5035832525670301,0.8696145124716553
55,0.39839744567871094,0.5196570116648408,0.8762192609159342
60,0.384434312582016,0.5262568129573929,0.8818012197268559
